date, b01_mw, b02_mw, b12_mw, b01_Qo, b02_Qo, b12_Qo, dam_el, dam_el_delta, rainfall 
9/28/2022 1:00,-0.01,10.06,10.05,-0.004,6.0759,6.0719,332.3982,0,0
9/28/2022 2:00,-0.01,10.06,10.05,-0.0039,6.0733,6.0694,332.3983,0.0001,0
9/28/2022 3:00,-0.01,10.06,10.05,-0.0048,6.0744,6.0696,332.401,0.0027,0
9/28/2022 4:00,-0.01,10.06,10.05,-0.0044,6.0755,6.0711,332.3789,-0.0221,0
9/28/2022 5:00,-0.01,10.06,10.05,-0.0035,6.0753,6.0718,332.341,-0.0379,0
9/28/2022 6:00,-0.01,10.06,10.05,-0.0043,6.0768,6.0725,332.4232,0.0822,0
9/28/2022 7:00,-0.01,10.05,10.05,-0.0037,6.0714,6.0677,332.9496,0.5264,0
9/28/2022 8:00,-0.01,10.05,10.05,-0.0049,6.0731,6.0682,332.8954,-0.0542,0.1
9/28/2022 9:00,-0.01,10.06,10.05,-0.004,6.076,6.0719,332.6469,-0.2485,0.1
9/28/2022 10:00,-0.01,10.05,10.05,-0.0036,6.0728,6.0692,332.3796,-0.2673,0.1
9/28/2022 11:00,-0.01,10.06,10.05,-0.0039,6.0761,6.0723,332.0925,-0.2871,0.1
9/28/2022 12:00,-0.01,10.06,10.05,-0.0042,6.0739,6.0697,331.917,-0.1754,0.3
9/28/2022 13:00,-0.01,10.05,10.05,-0.0037,6.0726,6.0689,331.7738,-0.1432,0.3
9/28/2022 14:00,-0.01,10.05,10.04,-0.0038,6.0709,6.0671,331.7546,-0.0192,10.9
9/28/2022 15:00,-0.01,10.05,10.05,-0.0045,6.0721,6.0676,331.6593,-0.0953,5.2
9/28/2022 16:00,-0.01,10.06,10.05,-0.0044,6.0743,6.0698,331.5189,-0.1405,0
9/28/2022 17:00,-0.01,10.06,10.05,-0.0039,6.0752,6.0713,331.4997,-0.0192,0
9/28/2022 18:00,-0.01,10.06,10.05,-0.0045,6.0753,6.0708,331.473,-0.0267,1.1
9/28/2022 19:00,-0.01,10.06,10.05,-0.0038,6.0745,6.0708,331.4073,-0.0657,0
9/28/2022 20:00,-0.01,10.05,10.05,-0.0037,6.0726,6.0689,331.3149,-0.0924,0
9/28/2022 21:00,-0.01,10.06,10.05,-0.0042,6.0771,6.0728,331.2003,-0.1146,0
9/28/2022 22:00,-0.01,10.06,10.05,-0.0041,6.0735,6.0694,331.3404,0.1401,0
9/28/2022 23:00,-0.01,10.06,10.05,-0.0046,6.0746,6.0701,331.4614,0.121,0
9/29/2022 0:00,-0.01,10.08,10.08,-0.0036,6.0896,6.086,331.5632,0.1018,0
9/29/2022 1:00,-0.01,10.17,10.16,-0.0044,6.1407,6.1363,331.6463,0.0831,0
9/29/2022 2:00,-0.01,10.17,10.16,-0.0037,6.1421,6.1384,331.7139,0.0676,0
9/29/2022 3:00,-0.01,10.16,10.15,-0.0038,6.1359,6.1321,331.7679,0.054,0
9/29/2022 4:00,-0.01,10.16,10.16,-0.004,6.139,6.135,331.8183,0.0504,0
9/29/2022 5:00,-0.01,9.87,9.86,-0.0035,5.959,5.9555,331.8502,0.0319,0
9/29/2022 6:00,-0.01,10.17,10.16,-0.0044,6.1411,6.1366,331.8758,0.0255,0
9/29/2022 7:00,-0.01,10.17,10.16,-0.0039,6.1399,6.136,331.8885,0.0127,0
9/29/2022 8:00,-0.01,10.16,10.16,-0.0031,6.1385,6.1355,331.8948,0.0063,0
9/29/2022 9:00,-0.01,10.16,10.15,-0.0058,6.1383,6.1325,331.8916,-0.0032,0
9/29/2022 10:00,-0.01,10.17,10.16,-0.0038,6.14,6.1363,331.8821,-0.0096,0.1
9/29/2022 11:00,-0.01,10.17,10.16,-0.0034,6.1398,6.1365,331.867,-0.015,0.2
9/29/2022 12:00,-0.01,10.16,10.16,-0.0038,6.1393,6.1356,331.8445,-0.0225,0.2
9/29/2022 13:00,-0.01,10.16,10.16,-0.004,6.1387,6.1347,331.822,-0.0225,0.4
9/29/2022 14:00,-0.01,10.16,10.15,-0.0044,6.1379,6.1335,331.7897,-0.0323,0.2
9/29/2022 15:00,-0.01,10.16,10.16,-0.004,6.1389,6.1349,331.7546,-0.0351,1.7
